"","CPHI.Adjusted"
"105",0
"106",-0.037740327982847
"107",-0.0392207131532814
"108",0.0392207131532814
"109",0
"110",-0.0392207131532814
"111",0
"112",0
"113",0
"114",0
"115",0
"116",-0.0408219945202553
"117",-0.0425596144187959
"118",0
"119",0
"120",-0.0444517625708338
"121",-0.0465200156348928
"122",0.0465200156348928
"123",0.0444517625708338
"124",0
"125",-0.0444517625708338
"126",0
"127",0.0444517625708338
"128",-0.0444517625708338
"129",0
"130",0.0870113769896297
"131",0.0800427076735366
"132",-0.0392207131532814
"133",0.0392207131532814
"134",-0.0392207131532814
"135",0
"136",-0.0408219945202553
"137",0
"138",0.0408219945202553
"139",-0.0408219945202553
"140",0
"141",0
"142",0
"143",0.0408219945202553
"144",0.0392207131532814
"145",0
"146",0
"147",0
"148",0
"149",0
"150",-0.0800427076735366
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0.0408219945202553
"157",-0.0833816089390511
"158",0
"159",-0.0444517625708338
"160",0.0444517625708338
"161",0
"162",0
"163",0
"164",0
"165",0.0833816089390511
"166",0
"167",0
"168",0
"169",-0.0408219945202553
"170",0
"171",0
"172",0
"173",-0.0425596144187959
"174",0
"175",0
"176",0
"177",0
"178",-0.0444517625708338
"179",-0.0465200156348928
"180",0.0465200156348928
"181",0
"182",0
"183",-0.0465200156348928
"184",0
"185",-0.0487901641694319
"186",0
"187",0
"188",0
"189",0.0487901641694319
"190",-0.0487901641694319
"191",0.139761942375159
"192",0
"193",-0.0444517625708338
"194",0.0870113769896297
"195",0.22314355131421
"196",-0.0689928714869512
"197",-0.113328685307003
"198",0
"199",0
"200",-0.0408219945202553
"201",0.117783035656384
"202",0.510825623765991
"203",-0.0454623740767574
"204",-0.205852054204149
"205",0.0822380982369723
"206",0
"207",-0.111225635110224
"208",-0.0298529631496813
"209",-0.062520356981334
"210",0
"211",0.0923733201310153
"212",0.0571584138399484
"213",0
"214",0.0540672212702759
"215",-0.0822380982369723
"216",0
"217",0
"218",-0.0588405000229333
"219",-0.095310179804325
"220",0.182321556793955
"221",0
"222",-0.0870113769896297
"223",-0.0307716586667537
"224",0.0307716586667537
"225",-0.062520356981334
"226",0
"227",0
"228",0.0317486983145803
"229",0
"230",0
"231",-0.0317486983145803
"232",0
"233",0
"234",-0.101782694309942
"235",-0.0741079721537219
"236",-0.0392207131532814
"237",0
"238",0
"239",0
"240",0
"241",-0.0408219945202553
"242",-0.0425596144187959
"243",0
"244",-0.0444517625708338
"245",-0.0465200156348928
"246",0
"247",-0.0487901641694319
"248",0.0487901641694319
"249",0
"250",0.0465200156348928
"251",0.167054084663166
"252",-0.0800427076735366
"253",-0.0425596144187959
"254",0.0425596144187959
"255",0.117783035656384
"256",-0.037740327982847
"257",0.0741079721537219
"258",-0.0363676441708749
"259",0
"260",0
"261",0
"262",0.0714589639821448
"263",0.0666913744986724
"264",-0.032789822822991
"265",-0.0689928714869512
"266",0.0350913198112699
"267",-0.0350913198112699
"268",0.0350913198112699
"269",-0.0350913198112699
"270",0
"271",0.0350913198112699
"272",0
"273",0.0666913744986724
"274",0
"275",-0.032789822822991
"276",0
"277",-0.0339015516756813
"278",-0.0350913198112699
