"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"624",0.63,0.63,0.59,0.62,1250900,0.62
"625",0.61,0.77,0.58,0.71,7556800,0.71
"626",0.68,0.7,0.62,0.65,1593300,0.65
"627",0.69,0.74,0.64,0.69,4322300,0.69
"628",0.64,0.74,0.63,0.67,2829100,0.67
"629",0.64,0.65,0.61,0.62,1201000,0.62
"630",0.62,0.65,0.59,0.6,983500,0.6
"631",0.6,0.63,0.58,0.58,889700,0.58
"632",0.57,0.6,0.55,0.58,1051200,0.58
"633",0.56,0.58,0.55,0.57,673000,0.57
"634",0.56,0.6,0.56,0.58,554300,0.58
"635",0.58,0.58,0.52,0.54,990700,0.54
"636",0.53,0.55,0.5,0.51,699800,0.51
"637",0.5,0.51,0.49,0.49,539900,0.49
"638",0.49,0.59,0.48,0.55,2635600,0.55
"639",0.58,0.58,0.53,0.56,779100,0.56
"640",0.56,0.59,0.55,0.58,709500,0.58
"641",0.57,0.58,0.53,0.56,869000,0.56
"642",0.56,0.57,0.55,0.57,385700,0.57
"643",0.58,0.61,0.56,0.58,1384200,0.58
"644",0.58,0.6,0.54,0.55,413100,0.55
"645",0.55,0.55,0.49,0.53,487900,0.53
"646",0.51,0.59,0.51,0.55,1222200,0.55
"647",0.53,0.54,0.51,0.52,449100,0.52
"648",0.52,0.52,0.51,0.51,271200,0.51
"649",0.5,0.51,0.5,0.51,404400,0.51
"650",0.5,0.51,0.47,0.48,387200,0.48
"651",0.48,0.55,0.47,0.5,1441000,0.5
"652",0.49,0.5,0.48,0.49,398300,0.49
"653",0.49,0.5,0.49,0.5,434900,0.5
"654",0.5,0.53,0.49,0.52,1519500,0.52
"655",0.5,0.51,0.49,0.5,382700,0.5
"656",0.5,0.51,0.49,0.5,420000,0.5
"657",0.5,0.6,0.49,0.54,5254000,0.54
"658",0.52,0.53,0.49,0.51,934600,0.51
"659",0.49,0.51,0.49,0.5,1107600,0.5
"660",0.51,0.54,0.49,0.5,3089800,0.5
"661",0.5,0.51,0.48,0.48,751600,0.48
"662",0.48,0.49,0.45,0.47,539200,0.47
"663",0.45,0.47,0.45,0.47,340700,0.47
"664",0.47,0.47,0.45,0.45,322600,0.45
"665",0.46,0.46,0.42,0.43,451600,0.43
"666",0.43,0.43,0.4,0.42,392300,0.42
"667",0.41,0.42,0.4,0.41,209500,0.41
"668",0.41,0.42,0.4,0.4,185300,0.4
"669",0.41,0.43,0.37,0.41,334300,0.41
"670",0.41,0.42,0.4,0.4,153400,0.4
"671",0.4,0.4,0.38,0.39,255300,0.39
"672",0.39,0.39,0.36,0.36,406700,0.36
"673",0.35,0.36,0.32,0.33,679900,0.33
"674",0.32,0.39,0.32,0.36,819800,0.36
"675",0.39,0.39,0.34,0.36,453000,0.36
"676",0.36,0.37,0.35,0.36,135800,0.36
"677",0.37,0.37,0.36,0.36,118800,0.36
"678",0.36,0.37,0.34,0.34,279100,0.34
"679",0.35,0.36,0.34,0.35,116100,0.35
"680",0.38,0.38,0.35,0.36,180300,0.36
"681",0.39,0.39,0.36,0.36,218000,0.36
"682",0.38,0.38,0.37,0.37,221500,0.37
"683",0.38,0.38,0.35,0.37,268100,0.37
"684",0.37,0.38,0.35,0.37,186100,0.37
"685",0.38,0.4,0.36,0.37,490500,0.37
"686",0.38,0.38,0.36,0.37,137100,0.37
"687",0.37,0.38,0.37,0.37,79100,0.37
"688",0.37,0.37,0.35,0.37,165000,0.37
"689",0.36,0.38,0.35,0.38,219500,0.38
"690",0.37,0.39,0.37,0.38,301900,0.38
"691",0.38,0.41,0.36,0.37,1209400,0.37
"692",0.36,0.38,0.36,0.36,142500,0.36
"693",0.36,0.37,0.36,0.36,101200,0.36
"694",0.37,0.38,0.36,0.37,273800,0.37
"695",0.35,0.38,0.35,0.38,95200,0.38
"696",0.36,0.38,0.36,0.38,79500,0.38
"697",0.38,0.38,0.36,0.37,108100,0.37
"698",0.36,0.4,0.36,0.38,298100,0.38
"699",0.37,0.39,0.37,0.39,84000,0.39
"700",0.39,0.41,0.39,0.41,373700,0.41
"701",0.41,0.43,0.41,0.42,242700,0.42
"702",0.42,0.44,0.41,0.42,251900,0.42
"703",0.43,0.43,0.41,0.42,160500,0.42
"704",0.42,0.43,0.4,0.4,108000,0.4
"705",0.42,0.44,0.38,0.41,830600,0.41
"706",0.42,0.48,0.41,0.46,2750200,0.46
"707",0.55,0.56,0.47,0.5,3741900,0.5
"708",0.49,0.49,0.43,0.45,1256500,0.45
"709",0.48,0.48,0.44,0.46,446200,0.46
"710",0.44,0.47,0.42,0.44,386300,0.44
