"","The level of risk reverse","The condition of the answer of financial problems","stock","financial asset","stock assset","financial market","province","gender","education level","marital status","educational investment","experience of finance","real estate","work","finance problem 1","finance problem 2"
"130",4,2,0,0,0,0,"上海市",1,7,1,1,1,1,0,1,1
"131",0,2,0,0.8,0,1,"上海市",0,6,0,0,1,1,0,1,1
"132",4,2,0,0,0,0,"上海市",0,1,1,1,1,1,1,1,1
"133",4,2,0,0.5,0,1,"上海市",1,6,1,0,1,1,1,1,1
"134",2,0,1,1,0.5,1,"上海市",1,7,1,1,1,0,0,0,0
"135",4,0,0,0,0,0,"上海市",1,4,1,1,0,1,1,0,0
"136",2,1,0,1,0,1,"上海市",1,3,1,1,1,0,0,0,1
"137",1,2,1,1,0.25,1,"上海市",0,7,1,0,1,0,0,1,1
"138",1,2,0,0,0,0,"上海市",1,5,1,0,0,0,1,1,1
"139",0,0,0,0,0,0,"上海市",0,4,0,1,1,0,1,0,0
"140",2,2,0,0,0,0,"上海市",1,3,1,1,1,0,0,1,1
"141",2,2,0,0.6,0,1,"上海市",1,6,0,1,0,1,1,1,1
"142",0,2,1,0.8,0.25,1,"上海市",0,6,0,1,0,1,1,1,1
"143",2,2,0,1,0,1,"上海市",0,7,1,0,1,0,0,1,1
"144",3,2,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,1,1
"145",4,0,0,0.5,0,1,"上海市",1,2,1,0,1,1,0,0,0
"146",4,2,0,0,0,0,"上海市",0,6,0,1,0,1,1,1,1
"147",4,2,0,0,0,0,"上海市",0,1,1,1,1,1,1,1,1
"148",3,2,0,0,0,0,"上海市",0,6,0,0,1,0,0,1,1
"149",3,2,0,1,0,1,"上海市",1,6,0,0,1,0,0,1,1
"150",3,1,0,0.5,0,1,"上海市",1,2,1,1,1,0,0,0,1
"151",0,2,0,0,0,0,"上海市",0,6,0,1,1,0,1,1,1
"152",3,1,1,0.333333333,1,1,"上海市",1,5,1,1,1,1,1,0,1
"153",2,2,1,0.5,0.5,1,"上海市",1,6,0,0,0,1,0,1,1
