性别,出生年份,文化程度,省,市,县,婚姻状况,个人是否有经管类专业学习经历,家庭总人口,年龄超过65岁的人数,年龄小于16岁的成员人数,家庭其他成员的经管类专业学习经历,投资风险厌恶水平,金融知识题,金融知识1,金融知识题,金融知识2,金融知识题回答情况,参与金融市场,金融市场,买房的费用,风险资产,股票资产占比,金融资产,风险资产占比,房地产,购买基金的花费,基金,购买股票的花费,股票,持有的互联网理财产品金额,互联网理财,金融理财产品的总价值,金融理财,债券总市值,债券,金融衍生品的总市值,金融衍生品,黄金的总市值,黄金,非人民币资产的总市值,非人民币资产,是否工作,工作类型,工作体力负荷程度,日均工作时间,工作场所危害健康的因素,个人年收入,个人年收入的范围,家庭工作人数,家庭年收入的种类,家庭年收入的其他种类,家庭总收入金额,家庭总收入范围,家庭总支出的种类,家庭总支出的其他种类,家庭总支出的金额,家庭总支出的金额范围,债券,期货、期权等金融衍生品,黄金,外币资产,其他，请注明,都没有,机关事业单位退休金/离休金,城镇职工基本养老保险（城职保，一般按月缴纳）,新型农村社会养老保险（新农保，按年缴纳）,城镇居民社会养老保险（城居保，按年缴纳）,城乡统一居民社会养老保险（按年缴纳）,其他，请注明,都没有,养老保险,城镇职工基本医疗保险,城镇居民基本医疗保险,新型农村合作医疗保险,城乡居民基本医疗保险, 公费医疗,以上都没有,医疗保险,商业医疗保险,重大疾病保险,收入保障保险,长期看护保险,商业保险,幼儿园/学前班,小学,中学,大学及以上,教育投资,工资性收入,经营性收入,财产性收入,转移性收入,其他收入,日常消费支出,生产经营支出,投资性支出,教育支出,医疗支出,转移支出,其他支出
1,1984,6,上海市,市辖区,静安区,0,0,4,2,1,2,2,2,1,3,1,2,1,2,550000,1,0,3,0.333333333,1,,0,,0,12000,1,200000,1,,0,,0,,0,,0,0,1,1,1,3,270000,,1,1月3日,,390000,,1-3-4-5,,200000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
1,1977,2,上海市,市辖区,宝山区,1,1,3,0,0,1,4,3,0,3,1,1,0,0,300000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,3月4日,,,2,1,,,2,1月4日,,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
0,1950,2,上海市,市辖区,崇明区,4,1,4,1,0,1,4,3,0,3,1,1,0,0,600000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,6,40000,,4,1,,200000,,2001/4/5,,80000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1960,3,上海市,市辖区,浦东新区,1,1,3,0,0,1,4,2,1,3,1,2,0,0,170000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,6,50000,,1,1,,100000,,2001/4/5,,,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1992,6,上海市,市辖区,奉贤区,0,1,3,0,0,2,2,3,0,3,1,1,0,0,3000000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,3,120000,,3,1,,,7,1,,100000,,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1969,6,上海市,市辖区,宝山区,1,1,3,0,0,2,3,,0,3,1,1,1,1,2000000,1,0,2,0.5,1,50000,1,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,100000,,2,1,,200000,,2001/4/5,,100000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1980,6,上海市,市辖区,虹口区,1,1,3,0,1,2,2,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,3,,6,2,1,,500000,,1-2-3-4-5,,,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0
0,1985,6,上海市,市辖区,奉贤区,1,1,4,0,2,2,2,2,1,3,1,2,1,3,7700000,3,0.333333333,4,0.75,1,55000,1,500000,1,70000,1,,0,,0,,0,,0,,0,0,1,1,2,6,45,,2,1月3日,,800000,,1月4日,,,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
1,1967,3,上海市,市辖区,徐汇区,1,1,3,0,0,2,4,2,1,3,1,2,1,1,3000000,0,0,2,0,1,,0,,0,,0,1000000,1,,0,,0,,0,,0,0,1,1,2,3,24,,1,1月3日,,,7,2001/4/7,旅游 ,240000,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,0,,,,,0,,,,,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1982,4,上海市,市辖区,宝山区,4,1,4,1,1,2,4,1,0,3,1,1,1,1,400000,1,1,2,0.5,1,,0,50000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,6,30000,,1,1-2-3-4,,50000,,2001/4/5,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
0,1956,3,上海市,市辖区,徐汇区,1,1,4,0,1,2,3,2,1,3,1,2,1,2,,2,0.5,2,1,0,,0,50000,1,500000,1,,0,,0,,0,,0,,0,1,,,,,,,2,1,,300000,,2001/4/5,,200000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1999,6,上海市,市辖区,嘉定区,0,0,4,1,0,1,1,2,1,3,1,2,0,0,1350000,0,0,1,0,1,,0,0,0,,0,,0,,0,,0,,0,,0,0,2,1,1,6,10000,,3,1,,800000,,2001/4/5,,200000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1957,3,上海市,市辖区,静安区,1,1,2,0,0,2,3,3,0,3,1,1,0,0,1550000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,0,1,,100000,,1月5日,,70000,,0,0,0,0,0,0,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1975,3,上海市,市辖区,徐汇区,1,1,4,2,0,2,2,2,1,3,1,2,1,1,750000,1,1,2,0.5,1,,0,100000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,6,60000,,1,1月3日,,150000,,2001/3/4,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0
0,1997,4,上海市,市辖区,静安区,0,1,4,0,0,2,1,2,1,3,1,2,1,7,1000000,7,0,8,0.875,1,,0,,0,120000,1,,0,100000,1,10000,1,20000,1,,0,0,1,1,2,3,240000,,3,2001/2/3,,1200000,,1-2-3-5,,600000,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,,,,,0,1,1,1,0,0,1,1,1,0,1,0,0
0,1984,3,上海市,市辖区,浦东新区,4,1,4,0,2,2,4,2,1,1,0,1,0,0,,0,0,0,0,0,,0,0,0,,0,,0,,0,,0,,0,,0,0,6,1,2,6,,,1,1,,,,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1976,5,上海市,市辖区,崇明区,1,1,3,0,0,1,2,3,0,3,1,1,1,2,1600000,2,0.5,3,0.666666667,1,,0,60000,1,200000,1,,0,,0,,0,,0,,0,0,1,1,2,6,30000,,2,1月3日,,120000,,1-3-4-5,,70000,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,,,,,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0
0,2000,6,上海市,市辖区,静安区,0,0,3,1,0,2,3,2,1,3,1,2,1,1,4000000,1,0,2,0.5,1,,0,0,0,3000,1,,0,,0,,0,,0,,0,1,,,,,,,2,1,,,5,2001/4/5,,500000,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1950,3,上海市,市辖区,徐汇区,1,1,3,2,0,2,2,3,0,3,1,1,1,1,1500000,1,0,2,0.5,1,1000000,1,0,0,,0,,0,,0,,0,,0,,0,1,,,,,,,1,5,退休金,120000,,1,,75000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,0,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1976,6,上海市,市辖区,宝山区,1,1,3,0,0,2,4,,0,,0,0,1,2,,2,0.5,2,1,0,,0,100000,1,,0,,0,,0,,0,,0,,0,0,6,1,1,6,,11,2,1,,,,1-2-4-5-6,,120000,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0
0,1952,2,上海市,市辖区,宝山区,1,1,5,2,1,2,4,1,0,2,0,0,1,1,50000,1,1,2,0.5,1,,0,50000,1,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1,,20000,,2001/4/5,,20000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1959,2,上海市,市辖区,宝山区,1,1,9,0,3,2,4,3,0,1,0,0,0,0,300000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,6,1,3,6,300000,,5,1月2日,,,,1月4日,,50000,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,,,,,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
0,1979,7,上海市,市辖区,虹口区,1,0,3,0,1,2,0,1,0,2,0,0,1,3,,3,0.333333333,3,1,0,,0,5000000,1,,0,,0,,0,20000000,1,,0,,0,0,3,1,3,6,300000,,2,2,,20000000,,3,,15000000,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1983,3,上海市,市辖区,宝山区,1,1,4,1,0,1,2,1,0,3,1,1,0,0,1000000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,6,1,1,6,300000,,2,2,,500000,,1-2-3-4-5,,200000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,,,,,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0
1,2001,6,上海市,市辖区,奉贤区,0,1,3,0,0,1,3,2,1,3,1,2,1,1,3600000,1,1,2,0.5,1,,0,10000,1,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1月3日,,300000,,2001/4/5,,200000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
0,1998,6,上海市,市辖区,奉贤区,0,1,3,0,0,2,1,2,1,3,1,2,1,2,,2,0.5,2,1,0,,0,1100000,1,2500,1,,0,,0,,0,,0,,0,1,,,,,,,2,1月3日,,,7,1月4日,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
1,1991,6,上海市,市辖区,浦东新区,0,1,3,0,0,2,2,3,0,3,1,1,1,1,5000000,1,0,2,0.5,1,,0,,0,5500,1,,0,,0,,0,,0,,0,0,1,1,2,3,200000,,3,1,,,6,1,,,6,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1958,5,上海市,市辖区,虹口区,0,0,1,0,0,2,2,2,1,3,1,2,1,1,800000,1,0,2,0.5,1,,0,,0,10000,1,,0,,0,,0,,0,,0,1,,,,,,,0,1月5日,退休金,60000,,1,,55000,,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,1,1,0,0,0,0,0,0
0,1995,6,上海市,市辖区,嘉定区,0,1,6,3,0,2,4,3,0,3,1,1,1,1,2000000,1,0,2,0.5,1,,0,,0,5000,1,,0,,0,,0,,0,,0,0,6,1,2,6,1000000,,2,2,,1800000,,1-3-4-5,,,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,,,,,0,0,1,0,0,0,1,0,1,1,1,0,0
0,1956,3,上海市,市辖区,嘉定区,1,0,2,2,0,2,4,1,0,3,1,1,0,0,600000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,70000,,1,1,,130000,,1,,50000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,1958,3,上海市,市辖区,宝山区,1,1,3,0,0,2,4,2,1,3,1,2,1,1,200000,1,0,2,0.5,1,20000,1,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,1,1月3日,,250000,,1,,100000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,0,,,,,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0
1,1982,5,上海市,市辖区,杨浦区,0,1,3,0,0,2,1,2,1,3,1,2,1,1,,1,0,1,1,0,,0,0,0,2000,1,,0,,0,,0,,0,,0,0,1,2,3,6,,8,2,1,,,5,1月4日,,,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1978,3,上海市,市辖区,宝山区,1,1,5,1,0,2,4,,0,,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,6,,,2,.r,,,,.r,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,5,上海市,市辖区,奉贤区,0,0,4,0,0,2,2,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1月2日,,,,1-2-4-5,,,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,,,,,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
1,1999,6,上海市,市辖区,崇明区,0,1,3,0,0,2,2,2,1,3,1,2,1,2,800000,2,0.5,3,0.666666667,1,,0,50000,1,10000,1,,0,,0,,0,,0,,0,1,,,,,,,2,1,,200000,,2001/4/5,,350000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1993,6,上海市,市辖区,奉贤区,0,1,3,0,0,1,1,2,1,3,1,2,1,1,,1,0,1,1,0,,0,,0,10000,1,,0,,0,,0,,0,,0,0,1,1,2,3,,6,3,1月3日,,600000,,1,,,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0
1,1958,2,上海市,市辖区,宝山区,1,1,2,0,0,2,4,3,0,2,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,0,4,,50000,,1,,30000,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,0,,,,,0,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1953,2,上海市,市辖区,杨浦区,1,1,4,2,0,2,3,1,0,3,1,1,1,1,,1,0,1,1,0,400000,1,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1,,9000,,1月3日,,15000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,1,0,0,0,0
1,1994,6,上海市,市辖区,嘉定区,1,1,2,0,0,2,3,1,0,3,1,1,1,1,4000000,1,0,2,0.5,1,,0,,0,5000,1,,0,,0,,0,,0,,0,0,1,1,1,6,150000,,2,1,,,5,2001/4/5,,,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0
1,1970,5,上海市,市辖区,虹口区,1,1,3,0,0,1,2,3,0,3,1,1,1,2,5000000,1,1,3,0.333333333,1,,0,1000000,1,,0,1000000,1,,0,,0,,0,,0,0,1,1,1,6,180000,,3,1,,400000,,2001/3/5,,200000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,1,0,1,0,0
1,1998,6,上海市,市辖区,宝山区,0,1,3,0,0,2,2,2,1,3,1,2,1,2,200000,2,0,3,0.666666667,1,10000,1,,0,10000,1,,0,,0,,0,,0,,0,1,,,,,,,2,1,,120000,,2001/4/5,,100000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1965,2,上海市,市辖区,宝山区,1,1,2,0,0,2,4,2,1,3,1,2,0,0,2000000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,3,2,1,4,30000,,2,1,,60000,,1,,60000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1987,6,上海市,市辖区,徐汇区,0,1,1,0,0,2,4,3,0,3,1,1,1,1,,1,1,1,1,0,,0,200000,1,,0,,0,,0,,0,,0,,0,0,1,1,2,6,400000,,1,1,,400000,,1月5日,,300000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1955,4,上海市,市辖区,静安区,1,1,3,0,0,2,4,2,1,3,1,2,1,2,200000,1,1,3,0.333333333,1,,0,200000,1,,0,500000,1,,0,,0,,0,,0,1,,,,,,,1,1月3日,,130000,,2001/3/5,,100000,,0,0,0,0,0,0,,,,,,,,0,1,1,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1948,6,上海市,市辖区,虹口区,5,1,5,1,2,2,3,2,1,3,1,2,1,5,1400000,4,0,6,0.666666667,1,300000,1,,0,200000,1,200000,1,30000,1,,0,,0,,0,1,,,,,,,2,1,,500000,,2001/4/5,,,,1,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,1,,,,,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1964,6,上海市,市辖区,虹口区,1,1,3,0,0,1,3,2,1,3,1,2,1,1,800000,1,1,2,0.5,1,,0,300000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,6,250000,,2,1,,300000,,2001/4/5,,150000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1994,6,上海市,市辖区,奉贤区,0,0,4,0,0,2,1,3,0,1,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,3,200000,,4,1,,1500000,,1,,550000,,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1999,5,上海市,市辖区,杨浦区,0,0,3,0,0,2,2,2,1,3,1,2,1,3,3000000,2,0,4,0.5,1,100000,1,,0,100000,1,200000,1,,0,,0,,0,,0,0,2,1,1,6,100000,,3,1,,100000,,1,,90000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1986,6,上海市,市辖区,浦东新区,1,0,3,1,0,2,1,2,1,3,1,2,1,1,400000,1,1,2,0.5,1,,0,300000,1,,0,,0,,0,,0,,0,,0,0,1,1,2,6,60000,,1,1,,100000,,1,,50000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1977,3,上海市,市辖区,虹口区,1,1,3,0,1,2,0,2,1,3,1,2,1,1,,1,0,1,1,0,,0,0,0,500,1,,0,,0,,0,,0,,0,0,1,1,3,3,60000,,2,1,,150000,,2001/4/7,送礼,150000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1975,5,上海市,市辖区,徐汇区,1,0,5,2,1,2,0,,0,,0,0,0,0,800000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,3,300000,,2,1,,500000,,2001/4/5,,450000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,,,,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1971,6,上海市,市辖区,虹口区,1,1,3,0,0,2,3,3,0,3,1,1,1,3,900000,2,0.5,4,0.5,1,,0,500000,1,20000,1,200000,1,,0,,0,,0,,0,0,1,1,2,3,100000,,2,1,,200000,,2001/4/5,,100000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1989,2,上海市,市辖区,奉贤区,1,1,4,0,2,2,0,,0,1,0,0,1,1,,1,0,1,1,0,,0,,0,2500,1,,0,,0,,0,,0,,0,0,1,1,2,6,25000,,2,1,,50000,,1月4日,,13000,,0,0,0,0,0,0,,,,,,,,0,,,,,,,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
0,1956,1,上海市,市辖区,浦东新区,1,1,2,1,0,2,4,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,1,5, 无,65000,,1,,60000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1960,3,上海市,市辖区,静安区,1,1,3,0,0,1,4,2,1,3,1,2,1,2,200000,2,0.5,3,0.666666667,1,,0,50000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,4,90000,,1,1,,150000,,1-4-5-6,,75000,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0
1,1960,5,上海市,市辖区,嘉定区,1,1,3,0,0,2,4,,0,3,1,1,0,0,1000000,0,0,1,0,1,,0,0,0,,0,,0,,0,,0,,0,,0,1,,,,,,,1,1,,100000,,1,,50000,,0,0,0,0,0,0,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1993,7,上海市,市辖区,浦东新区,0,1,2,0,0,2,2,2,1,3,1,2,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,6,1,2,6,,5,2,1,,,5,1,,,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1984,5,上海市,市辖区,奉贤区,0,1,1,0,0,2,1,1,0,3,1,1,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,2,6,150000,,1,1,,150000,,1,,70000,,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1951,3,上海市,市辖区,徐汇区,1,1,2,2,0,2,3,3,0,2,0,0,1,2,2000000,2,0,3,0.666666667,1,,0,0,0,,0,,0,,0,,0,20000,1,,0,1,,,,,,,0,1月3日,,200000,,1月5日,,50000,,0,0,1,0,0,0,,,,,,,,0,0,1,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,0,0,1,0,0
1,1990,5,上海市,市辖区,虹口区,1,1,5,2,0,2,3,2,1,3,1,2,1,3,600000,3,0.333333333,4,0.75,1,10000,1,30000,1,5000,1,,0,,0,,0,,0,,0,0,1,1,2,6,100000,,5,1,,300000,,2001/4/5,,100000,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0
1,1984,6,上海市,市辖区,杨浦区,0,0,2,0,0,1,0,2,1,3,1,2,1,1,3000000,1,1,2,0.5,1,,0,470000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,6,60000,,2,1,,300000,,2001/3/5,,200000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,1,0,1,0,0
0,1971,6,上海市,市辖区,虹口区,1,0,3,0,0,2,2,2,1,3,1,2,1,8,1000000,7,0.142857143,9,0.777777778,1,1000000,1,1000000,1,50000,1,2000000,1,5000,1,,0,1000,1,,0,0,1,2,2,6,200000,,3,1月3日,,500000,,1-3-4-5,,200000,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,1,1,1,0,0
0,1987,4,上海市,市辖区,宝山区,1,1,4,2,1,2,1,1,0,3,1,1,1,2,,1,0,2,0.5,0,,0,,0,20000,1,50000,1,,0,,0,,0,,0,0,1,2,2,3,100000,,2,1,,100000,,2,,60000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,1998,6,上海市,市辖区,嘉定区,0,1,4,0,1,2,1,2,1,3,1,2,1,1,,1,0,1,1,0,,0,,0,75000,1,,0,,0,,0,,0,,0,1,,,,,,,2,2月3日,,750000,,1-2-3-4-5,,1500000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0
0,1977,4,上海市,市辖区,宝山区,4,1,3,1,0,1,2,2,1,,0,1,1,5,2000000,5,0.2,6,0.833333333,1,100000,1,500000,1,,0,,0,,0,,0,50000,1,,0,1,,,,,,,,2,,100000,,1,,90000,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
